index,SAVSNET_consult_id,Narrative,SAVSNET MPC,Consult_date,Species
55,2035501,"""1st vacc. o reps all ok at home, settling in well and playing with other cat. occasionally has discharge from eyes and nose but o been cleaning with damp cotton wool and seems to have cleared up. exam: nothing abnormal detected, fine for vacc, both testicles descended. disc flea/worm treatment, castration, toilet training. microchipped in cons.  Next appointment in 3 weeks.""",vaccination,2016-08-17 09:49:13,cat
56,2881385,"""in good health, weight steady, mouth good, heart normal, no abnormalities detected.""",vaccination,2017-03-08 15:17:02,cat
57,5089738,. vacc. o no concerns. been much better since had all teeth out. bcs4/9. ears n. hr 160. coat good. ch chip,vaccination,2018-09-21 15:11:20,cat
63,3124949,"""clipped some knots off abdomen and groomed.""",other_healthy,2017-05-12 09:44:43,cat
69,1506060,"""vomitting again a few times , another cat has done this as well, advise re diet etc again but ?infectious cause still.""",gastroenteric,2016-04-22 09:57:03,cat
89,6539489,"Second vaccination Tricat/Felv.  OR no concerns. Everything is fine, nothing abnormal detected.Discussed about neutering.  Next appointment in 1 month for ww and possible book appointment for spay.",vaccination,2019-08-14 15:47:20,cat
91,1140562,"""Vax. Ce all ok but overweight, owner says loses weight in the summer when goes out more. No concerns from o""",vaccination,2016-02-02 15:06:20,cat
94,1399010,"""Check - doing well. Adv continue Syn few more days. Still got D+.""",other_unwell,2016-03-31 14:56:56,cat
96,5223111,"Wednesday bit of a limp. Last couple of days trouble bearing weight on RF. Slightly swollen. <<name>> is an outdoor cat, O doesn't know if he got into a fight / trauma but is possible. He does tend to shout at other cats rather than interact with them. Is really clumbsy. Still eating and drinking okay, no V or D. Exam: heart/resp/abdo OK, no abnormalities apart from pyrexic (39,2). Polydactylic and right front extra toe swollen under foot pad. -> Because he's got a temperature and the toe is swollen it probably is a bite/injury.  -> Plan: Synulox + meloxaid injection in consult + 5 days AB (synuclav) course at home as off tomorrow. Recheck Tuesday.",trauma,2018-10-19 12:21:24,cat
105,929977,"""H: No concerns at home. Last week had a day of v+ but has been good since. EDDU all normally. E: EENT fine palpable LN all normal heart lungs fine abdomen NAD T38.8. A: Fit for vacc. p: Vaccinated repeat in 1yr""",vaccination,2015-12-12 10:10:47,cat
113,6590501,"BIOP 1 week, settled really well. all ok on exam, discussed feeding. Due flea tx now, wormer & flea at 2nd vax after weight check. Disucssed insurance. Will update chip details*.",vaccination,2019-08-27 09:22:25,cat
116,2085153,"""was a bit off colour today breathing rate up temperature normal etc ?heart onto heart meds and assess response with viwe to work up next week.""",post_op,2016-08-27 11:55:05,cat
117,989183,"""Booster RCP.  5.05kg, vaccines and health check , all ok on examination , advise etc.""",vaccination,2015-12-29 16:27:35,cat
121,3654073,"""Not eaten over last 2 and going downhill. Os have decided on euthanasia. Indv cremation, Os away next week so pls ask valley to call the week after on mobile ending 029.""",other_unwell,2017-09-22 14:37:38,cat
132,837412,"""vac. ghc all ok.""",vaccination,2015-11-19 10:45:48,cat
137,6398837,claw on digit $ Rf foot was growing into pad.  advise clip claws every 2 months,trauma,2019-07-17 18:52:41,cat
146,5715025,. Looks well.  some weight loss. BCS 4/9. wont eat renal food. Ok for vaccination.  all within normal limits.  BP done average 145. 140-155 mmHg. Plan recheck in 3 months maintain current dose 1/2 ampdip 1.25 OD. Next appointment in 3 months. BP,kidney_disease,2019-02-11 11:33:30,cat
149,4980706,"""Recheck.  O reports bright, fiestier now. No v+/d+. Eating well but every few days picks at food still.  BAR, mucous membranes pink, HR 180, RR 20, some increased effort but stressed. NAD lungs. NAD abdo.  Repeated convenia today. Discussed recheck if not 100% in the next weke or so otherwise happy to monitor at home""",other_healthy,2018-08-31 08:44:09,cat
150,6379287,"<<name>>. Sneezing on and off for a while but recently thicker discharge and occ some blood. Left eye also looks a bit infected. Slightly lethargic. DDUE ok. Trial and metacam and covenia, warned of polyp. recheck 7-10 days.",respiratory,2019-07-13 15:02:47,cat
158,3192050,"""halitosis improved but still some malodour. Still some sneeze, but has imrpoved. Eating ok. ce - mm pink. smln +. lungs clear. t=38. abdo palp nad. mild gingivitis upper molar arcade area and tartar on both upper molars.  Next appointment in 1 week. chk up <<name>>/<<name>>""",respiratory,2017-05-31 11:16:57,cat
165,2722336,"""Sepsis R side face remove crust free flowing purulent discharge.""",other_unwell,2017-01-27 09:26:33,cat
169,5742688,"Lab Request References Generated: Pre-Surgical Panel is 01005641. Haematology (3 Part) is 01005641. Lab Request References Removed: Pre-Surgical Panel is 01005641. Haematology (3 Part) is 01005641. doing v well. bloods to send off to check urea/creat/phos. rec urine sample also. bladder v small today, so o will try to get sample at home. lost prescription- so another one done today. - Prescription -. Date: 2019-02-16 10:59:00. Vet:<<name>>, Qualifications: BVM&S MRCVS. 1 X Semintra Oral Sol 100mls. Dosage: dose for 3.5kg cat once a day. Dosage: Repeat: -",other_unwell,2019-02-16 11:29:17,cat
173,6739550,"Flu positive ulceration left eye today, looks like superficial ulcer with flap of tissue, plr and menace normal, re see tues wed or sooner if not settling. O also requests booster.",post_op,2019-09-27 18:10:56,cat
180,5438729,"<<name>> - check over + restart vaccination - tricat + felv.  OR hasn't been to vets since 2012 so wants a check over and restart any vaccination necc etc. CE - BAR - lovely boy!. HR 160, mucous membranes pink and moist, capillary refill time <2s. chest ausc nothing abnormal detected. ln within normal limits.  eyes, ears, fine.  teeth - mild tarttar no gingivitis. abdo palp - comfy, nothing abnormal detected.  BCS 4/9. checked microchip - owner was worried someone else had microchipped but scanner only picked up the one we have on file. Disc with owner in really good shape considering often doesnt see him!.  HPC joined. milbeworm given in consult. vaccination tricat + felv - booster needed in 4w. flea treatment dispensed.",vaccination,2018-12-05 09:06:25,cat
182,770435,"""1 week ago went out all night. Next 2 days seemed a bit sleepy. Has been noted to be licking lips, exaggerated swallowing. Eating N quantities. Urine &amp; faeces not observed, but o did observe urination today.  in consult - BAR, perky. Mmembs NAD, SMLNs NAD, oral cavity NAD. No pharyngeal FB. Pain on palpation around hyoid apparatus. Suspect has eaten mouse/bird &amp; has had a pharyngeal/oesophageal scratch. Eating fine, chest NAD, abdomen NAD. T=38.8C.  Plan - Metacam injection, then oral. See if probs. Do not anticipate further probs. See if any concerns.""",other_healthy,2015-11-02 15:44:38,cat
187,4860831,"""Booster. Outdoor cat, well in himself no vomiting/diarrohea, eating well. NAD on clinical exam some matts - advised brushing.""",vaccination,2018-08-07 09:42:20,cat
193,4385738,"""DIARRHOEA/CYSTITIS? O reports she's been well in herself until today noticed small mucoid globule with blood in litter tray. Has then seen soft diarrhoea too. She seemed to be squatting and then later saw drops bloody liquid/urine? Not certain if urine. Food down to day but not sure if she's eaten or other cat. C/exam: quiet, alert and responsive, BCS 4/9, slim but wt same as last time checked. HR 180, mucous membranes pink, abdo empty - bladder empty, no stools. Temp 38.8, clean thermometer. Hence unsure regarding condition - cystitis and/or diarrhoea. Hence treat synptomatically and avoid metacam until GI better, if needed. Discussed other causes and has lost wt over last 7 years so possible consider b/s if no better.""",gastroenteric,2018-04-09 16:09:19,cat
196,3597819,"""OR eye blepharospam and epiphora for 3 weeks now. Bathed with salty water but hasn't got better.  On exam marked blepharospasm, corneal oedema in lateral lower quadrant with neovasculisation. Fluorescein +ve but only saw after applying proxymethacaine.  IOP L eye 15 R eye 15. Start treatment as below, if no better switch to chloramphenicol.""",other_unwell,2017-09-08 17:55:17,cat
202,2774889,"""Owner reports not been eating well for the lastr week, has lost weight and coat appears scruffy, fairly small cat but bones prominent. owner also noticed on monday faeces very loose with some fresh blood in it. since then can't say what faeces is like either not passed or done outside. temperature: 38.2 degrees C. eyes, ears NAD. teeth: right upper molar in front of carnasial can see fresh blood aroun tooth and looks to have been broken. CVS: regular rhythm, NAD on auscultation, MMPM, CRT 1-2s, Hr 180bpm. resp: Nad on auscultation, RR 24bpm. GIT: NAD on palpation, can't feel full colon of faeces so suspect either passing normally or as not eating not producing much. options to owner, could be pain related due to teeth as reason for not eating, weight loss and lack of appetite concerning as could be underlying systemic disease, advised costs for different bloods. discussed running bloods NAD then would be wanting to discuss dentals. owner currently unemplyoed and hasn't got the funds, advised could trial pain relief and tempting to eat if just pain related advised between meloxaid w/o bloods and vetergesic. discussed given 48hrs of pain relief but id still not eating and unable to invesitgate cause then need to consider euthansia on welfare grounds/ QoL.""",other_healthy,2017-02-09 13:05:10,cat
218,2200513,""".""",vaccination,2016-09-22 15:06:49,cat
221,5190165,"POC: doing ok post dental. EDUF normal, no vomiting/diarrohea. is still sneezing/coughing occaisonally but better than was. extraction sites healing well. no dc. thoracic ausc NAD. abdo palp NAD. owner to continue with meloxaid a bit longer in case is helping sneezing/coughing. if no improvement then r/v.",post_op,2018-10-12 13:16:52,cat
223,2764118,"""Booster ducat and FeLV. O reports no problems except goes missing for days and comes back without collar with dirty patches from cars. EDUD fine, no coughing/sneezing/V+/D+. BAR, MM pink and moist, carnassials awful, need removing, CRT<2, Lns wnls, HR 180, NAD abdo palpation. Vacc LH with ducat and FeLV. Advise book in for dental ASAP +/- castrate""",vaccination,2017-02-07 10:07:51,cat
225,5370240,"BOOSTER Tricat + Felv. Hasn't had any pred for a while, and the asthma (coughing) is worse. Frequently vomits food shortly after eating (not at other times). Recommend Northlight <<name>> cat feeder to slow the eating down, and now seems like a good time for Senior bloods.",vaccination,2018-11-20 10:29:36,cat
227,4857302,"""REASON: booster n-v ducat felv.  Inj s/c RH. All well, no probs noted, wt stable. Mmbs pink, crt1s, teeth ok, chest ausc NAD, hr156 no murmur, abdo palp NAD. Admin wormer in consult and home with rest of 6 mo supply. clipped front nails at O's request.""",vaccination,2018-08-06 15:46:55,cat
236,874196,"""Booster Ducat/FeLV. A028A02/5ASF01. In good health except mild sub mand acne &amp; slighlty swollen chin - marginal. Adv likely to be allergic process &amp; eosin gran response. Adv keep up parasite control, though no flea dirts found today. BCS 5/9. HR 168. Admin Quantex 0.5.""",vaccination,2015-11-28 09:21:46,cat
237,2306485,"""6mth health check - all well but one of cats is vomiting overnight advise separate to find out which one.""",other_healthy,2016-10-14 17:56:02,cat
240,5690127,"owner reports Been in owners possesion for 3 years, was previously seen here some time ago by previous owner. owner reports has umbilical hernia and small cyst n right shoulder blade niether of which have changed or appear to cause her any concerns. on cx heart rate 154, Skin, Teeth, Abdomen, Range of movement, Weight, Heart, Eyes, Ears, Lungs all checked and nothing abnormal detected apart from hernia, wont go back in but feels fatty in consistancy - advised need to monitor carefully and ideally consider repair. discussed HPC - owner will have a think about it. owner declined flea and worm treatment at present. Next appointment in 4 weeks for 2nd vacc",vaccination,2019-02-05 12:08:03,cat
241,6616996,"<<name>> Check. BIOP 1 day. O concerned she has fleas. was told was f/w, but found fleas. BAR in consultation, lung & chest ausc NAD, abdomen palp NAD - a little rotund so suspect needs worming, looks to be famle in gender. chip check & none found. palate closed. advise vaccs from next week. disc chip when neutered - O enquiring about help, advise check with CP. disc insurance.",vaccination,2019-08-31 10:05:42,cat
260,792862,"""O reports several day history of inappetence. Drinking fine. one episode of vomiting a few days ago. No D+. Was seen by OV who gave course of ab&apos;s. O says improved in demenour since then but still not eating. BAR, mm pink and moist. Teeth fine. No linear FB under tongue. Eyes/ears/LN fine. Temp 39.0. No skin tent. HR 260, mildly tender on abdo palpation. BCS 4/5. No flea dirt in coat. Offered bloods including PLI V symptommatic treatment for 24 hours and re-check if concerned. O elected for this option. Given vetergesic and cerenia. Adv encouraging to eat. Re-check tomorrow with view to further work up if not improving.""",gastroenteric,2015-11-07 12:34:56,cat
261,202109,"""DIABETES. weight gain doing well - on 4iu Once a day. Bg=13.1. maintain dose - given tonight.""",other_unwell,2014-09-26 17:09:18,cat
263,1301971,"""Several teeth affected by FORLs - extracted 103/107/207/304/308/309/408. Next appointment in 2 days.""",other_unwell,2016-03-09 12:28:19,cat
269,1001702,"""owner woke up this morning - blood all over bed and floor, sky not herself, hidinh a lot. <<identifier>> results show scc - owner opted for euthanasia. individual cremation - ashes returned in sleeping cat casket.""",tumour,2016-01-02 09:14:05,cat
280,6733004,"Cat comfortable, no aural irritation now, no smell, no discharge. Clin ex: L ear clear, TM intact, scant wax. PLAN: Stop drops, reduce cleaner to every other day for next week then maintenance only i.e. weekly to mothly.",other_unwell,2019-09-26 17:21:50,cat
286,6552516,"Booster Ducat (A045A01). OR well, DUDE, no concerns. BAR. Eyes ears nose teeth all fine, pink mms. Thoracic ausc NAD, HR 188. Abdo palp NAD. Vacc over L shoulderblade.",vaccination,2019-08-16 16:58:09,cat
289,716068,"""signs of cystitis.""",post_op,2015-10-17 10:25:49,cat
290,4733322,"""""",vaccination,2018-07-12 10:19:34,cat
294,6198793,"<<name>>. Still lesions on neck. Plan - Continue Pred until lesions gone, discussed continued Stronghold. Once lesions gone slowly come off and if recurrence work up for other allergy. Next appointment in 1 week. <<name>>",pruritus,2019-06-04 18:43:59,cat
295,2892636,"""1st vac nothing abnormal detected generalised exam 8w old pentofel 185585.""",vaccination,2017-03-10 17:33:47,cat
301,5765165,"in for free lump check. Small, soft mobile lump palpable subcutaneously in the scruff at back of neck. Looks like a local vaccine reaction considering vacc was 2 weeks ago. In herself has been very bright and no signs of unwellness. Advised that if not bothering her and causing a problem is should resolve of its own accord. If not then can trial with NSAIDS but do not think they are needed at this stage. Monitor for local reactions at 2nd vacc.",other_healthy,2019-02-21 16:49:45,cat
302,6686306,". Give one and a half tablets twice daily, start Tues pm. CBW's R side of face, some swelling and emphysema but no real abscess formed, some bruising inside mouth upper pm area. Well in himself, EDDU as normal. <<name>> 5d if not better, sooner if any worse.",trauma,2019-09-16 16:11:13,cat
303,1174886,"""vaccination - tricat + felv. tri a327f01. felv 5fzv01. bright, alert and responsive, defecating, urinating, drinking, eating ok, no cough/sneeze, vomiting/diarrohea, nothing abnormal detected on clinical exam at all. owner no concerns.""",vaccination,2016-02-09 18:42:30,cat
310,5480086,"Aprox one week since last blood seen in urine.  Seems fien and happy at this point.  Second convenia injection and monitor.  PE is not changed , 8-9/9 body condition score",other_unwell,2018-12-13 17:12:23,cat
311,2578189,"""Next appointment in 3 weeks. here for booster, no O concernes. A4, h4, PUPD-, Vd-, eyes ok,ears clean, no pinna, mucous membranes pink, crt&lt;2, tartr gr 1-2 but gingivits 3-4, advised dental (discussed fixed price as on hpc), possible pre-op bloods, lymph node ok, pulse ok, chest clear, heart ok 180 bpm, abdomen ok. given Nobivac tricat + FeLV - just had rcp before, coming in 3 weeks for 2nd FeLV""",vaccination,2016-12-19 15:33:40,cat
313,6128189,"Cat bite abscess on right fore. Swollen over medial radial forearm. Large scab and matted hair. Owner noted 10/10 lameness for 24 hours. Some blood noted on bed 2 days ago. Not eating very well and lethargic for 24 hours. Ate breakfast today. Clipped and cleaned leg, expressed liquid pus from bite wound. Flushed pocket. Admin convenia as owner find he spits tablets out. Given buprenoprphine due to possibility of early ckd and slightly dehydrated today for metacam. Re-check in 7 days for blood tests and urine sample to re-check kidneys as weight continuing to drop.",other_healthy,2019-05-20 10:15:28,cat
316,3568637,"""not much improvement in breathing. RR in here 50, owner reports slower at home. advise let us know what it is. add in benazepet. owner to phone with update next week. owner feels vetergesic really helped. offered cardio referral. Next appointment in 2 weeks. t4 bloods. recheck breathing""",other_healthy,2017-09-01 18:42:27,cat
319,2740213,"""fine to book in fro castr <<identifier>>.""",vaccination,2017-02-01 09:30:17,cat
326,6026946,"Urinating in the house over the past few months. Improved for a time when owner provided additional litter tray but keeps going back to the same place despite cleaning. O reports does drink quite a lot. Eating well (gaining weight). When she has her 'accidents' it is a larger volume, not smaller amounts so not typical of cystitis. On exam is obese, stiff when walking, owner feels mobility is getting worse. Otherwise NAD. Recommend screening bloods in first instance to check for any causes of polyuria/polydipsia. If normal consider a two week pain trial as OA pain may be an influence on this problem.",kidney_disease,2019-04-25 17:25:32,cat
335,2797852,"""Next appointment in 4 weeks. With <<identifier>> please DOUBLE appt!. Not eaten for a few days. O bit miffed as thought removing teeth would mouth solve problem and concerned re ongoing costs. Explained problem is the gingiva, removing teeth can help in majority of cases but does not cure all cases. Advise if O was unhappy with previous communication can get <<identifier>> or Clinical Director to talk to him - O declined. Given chronic gingostomatitis fact sheet from <<name>> vet dentisit website, also advise icatcare website useful source of information. Explained illness can be ongoing and require lifelong management. Discussed oral hexrinse/mouth washes etc - O said would not be able to manage with any oral/topical treatment at home. Advise we could do swabs to check for underlying viral causes, but may not change treatment plan - some vets sometimes consider interferon etc in chronic cases but explained not used myself. Advise on steroid side effects and risks. Advise NOT TO GIVE METACAM (owner has at home, finished giving this last week but thought this was an antibiotic - expalined it was a NSAID) and can NOT HAVE VACCs within 3-4 weeks of having long acting steroid injection. Given ab injection as gums very inflammed on exam - no pockets, extraction sites appear to heave healed but overlaying gingiva red and inflammed with hypsersalivation ++.""",other_unwell,2017-02-15 11:24:16,cat
336,5256485,"Straining. Straining to urinate - started 3 days ago, O kept an eye on but no change. Not in distress, normal at home and bright. Eating and drinking normally. Not seen him pass any faeces. O not seen him pass any urine. CE: BAR, mm p+m, CRT 1.5s, NAD in mouth/ears/eyes. NAD on chest ausc - HR reg and WNL. Abdo palp - very small bladder, quite uncomfortable on palpation, rest of abdo palp NAD, no faeces in colon. Lns WNL. Skin and coat in good condition. Suspect FIC/FLUTI. Treat with NSAIDs and synuclav for 5 days. Adv O to monitor carefully for signs of urethral blockage - change in behaviour/signs of distress/anorexia and lethargy/no urine passed. Re-see if concerned or no improvement by next week.",kidney_disease,2018-10-26 12:33:19,cat
344,931436,"""Ear looks better , OR he was a bit unwell the last couple of days as they were in <<identifier>>. Home with the cat sitter and drops were not given as normally but ears look great. Cleaned in consult and advise on doing the drops only once aday and clening once a week as the process itself is very stressing for the cat. ear canal is not stenotic and is a sliglty buildup of wax.""",other_unwell,2015-12-13 10:46:31,cat
352,3157640,"""Prescription check up - meloxaid. Weight 6.2kg. Doing well, has managed to lose a good amount of weight, keep up the good work! has a little bit of tartar and very mild gingivitis, discussed maybe doing a quick SandP if we sedate <<identifier>> for blood work at some point. HR 180bpm, no obvious murmur. Eyes/ears/coat/Lns all ok. Abdomen tricky to palpate carefully as quite big but nothing obv abnormal.""",other_healthy,2017-05-20 12:05:32,cat
356,612454,"""reason: 2nd vaccination. sleepy after 1st vaccination. resolve within 24 hours edud normal no v/d/c/s.  NAD on exam. discussed neutering.""",vaccination,2015-09-16 10:31:00,cat
358,694567,"""Lethargic, not eaten for three days.  T 39.6C. Remainning physical exam WNL. HR WNL. Lungs clear. Mouth fine. No cough, no sneezing, no V or D, abdominal palpation NAD. Pulse fine. Undertermined focus of infection.  O&apos; after askin a lot says found some sickness yesterday, but that has other cats, so difficult to know if it was comming from <<identifier>>. Recheck in 5 days. INI sooner for further investigations.  Next appointment in 5 days.""",other_unwell,2015-10-12 11:28:41,cat
360,1730419,"""EDUF. grade 1-2 mumur - diffcult to hear as purring. dental disease as last time - advise dental. nothing abnormal detected on abdomen palp. ear/eyes fine. lnn normal. vaccinated.""",vaccination,2016-06-13 09:03:35,cat
361,2797336,"""o' concerns: hearing loss and scabby back with cat chewing. cat has become more vocal and seems to jump when o' is behind cat even when o' calling to cat. Vocalisation doesn't relate to food. eyesight seems fine. clinical exam: teeth some tartar. cannot see resorptive lesions but cat does chatter slightly when examing right side. ideally dental to check for FROLs below gum line. ears clear. no evidence infection. hr=160 with no mumur or gallop. weight gain. nothing abnormal detected in abdomen (although doesn't like examination). miliary dermatitis along back. mild. out of date with endecterid so although no flea dirt in coat suspicious of FAD. apply endecterid today.  do not feel anitbiotics currently indicated for skin. advise if cat chewing badly can give steroids to help settle provided not on meloxaid currently. o' would like to see response to flea treatment in first instance.""",pruritus,2017-02-15 10:26:26,cat
374,4028277,"""well, nad but purring so can'tr hear heart. checked chip, 2 testicles.""",vaccination,2017-12-22 10:15:36,cat
375,3933247,"""bar dude nad.""",other_healthy,2017-11-28 17:05:18,cat
377,5860024,"Lump on side.  1cm round inlfammed lump on right side abdomen. Inflammed and slightly exudative. owner reports that not been wanting to jump up for the last few days so wonders whether hurt herself here. Otherwise ok. E/D/U/F all normal. No concerns on general physical exam. bright, alert and responsive and well in herself. Aspirated mass and nothign produced. Adv unsure whether is a mass which has become inflammed, or a healing trauma. Plan to treat as below and if not fully resolved within 10-14 days resee for FNA",tumour,2019-03-15 10:17:38,cat
389,3582347,"""In to check ears and clip claws. Shaking head and scratches on skin under each ear. Wrapped in towel for ears. R ear ok, made a little fuss but able to see down to TM and all ok. Yowled and hissed when trying to look in L ear and unable to see down to TM. Mild creamy discharge but part of canal seen looks ok. Warned O re not seeing TM and not really knowing what the cause of discomfort is. O still keen to have topical tx.  Unable to clip claws as too stressed by ear exam, so advise book in another day - may be best to drop off in the morning so can do them throughout a day as gets so stressed, and advise not normally a nurse around after 5:30-6pm.""",other_unwell,2017-09-05 18:39:14,cat
393,5280349,Quick health check and weigh in - O has been reducing amount of metabolic and switching back onto partially normally wet pouches as well - weight gain noted ++. Clinical exam - BAR - MM pink and moist - CRT 2 secs - teeth clean - HR/RR WNL - NAD on abdominal palpation - LN WNL - BCS 7/9. Discuss DIET!!!. Back on metabolic fully,other_healthy,2018-10-31 16:55:07,cat
394,6674174,Reason: lump on chest... Hx: thinks it is getting bigger. Exam: small superficial dermal cyst; drained 1/2ml of clear fluid from it - warned it will probably refil but is not a problem,other_healthy,2019-09-13 09:05:02,cat
395,2057932,"""~fractured upper canines - would benefit from dental. Ears still quite mucky continue with treatment. Recheck again 10d. Discuss timing for detnal then RSPCA ok to pay.""",other_healthy,2016-08-22 15:38:58,cat
397,6106681,"or she is doing fine, DUDE, no cor s , no v or d. she is eating wet food more now since she <<location>> a dental. otherwise she is fie. bar, mm pink, heart ok, lungs fine. no respond during abdo palpation. gave a melox oral <<name>>, see in 3 month. if ay concerns contact us.",other_healthy,2019-05-14 17:04:31,cat
399,2623799,"""POC eating, drinking u + f fine, meds ok. Not wearing collar, slightly red at bottom of wound highly suspect from licking. Advised owner to put on collar as soon as gets home and leave on. Do not allow out with collar on. Went over neutered diets, hairball diets etc. Re-ex 1 week. POC""",Unknown,2017-01-03 14:38:14,cat
404,2663286,"""H. No O concerns, fine after last vaccination. E. NAD. T. Tricat/felv vaccination given., microchipped.""",vaccination,2017-01-12 10:35:50,cat
406,165623,"""""",other_unwell,2014-08-27 09:27:30,cat
410,4143486,"""2.68 kg Recheck. w/in a few hours after steroid was a different cat. Could walk better and happier. Not eaten anything today, but ate a lot yesterday. Got mirtazapine yesterday. Still has this sore. BAR, mm-pale, crt<2sec, eye/ear - wnl, LN - none raised, u/g - wnl. oral - grade 3/4 tartar w/ no inflammation. Mild malodour. No obvious lesions. abd palp - Still thickening of intestines, but now ~ 1.5 cm hard, knobbly swelling in cranial abdomen now. m/s - reduced condition - bcs 4/9. - RF - 1/5-2cm, hard swelling proximal to elbow - painful. integ - slight decrease in turgour.  - LH - medial aspect of limb, distal to hock. ~ 2cm hard, thickened plaque, inflamed and sore. card - 200 bpm. Grade 1/6 murmur. Normal rhythm. resp - no obvious abn lung sounds. eye - OD - frayed 3rd eyelid. Negative fluorescein. No blepharospasm. Normal anterior chamber and retinal exam. Plan: 1. Convenia SC. 2. Vetasept. 3. Vit B12 injx. 4. Recheck w/ VitB12 in 1 week - recheck sooner if concerns. * owner aware that as soon as QOL no longer there to make a decision.""",other_unwell,2018-01-25 14:16:27,cat
416,6619310,weight the same. motions vary from sift to liquid. abdomen still feels doughy. no ribbon intestines. add in antibiotics again to see if get response.,gastroenteric,2019-09-02 09:12:50,cat
423,2101599,"""History: annual booster. O&apos; has no concerns. Clinical Exam: has lost weight since last year intentinally. HR 160bpm. nothing abnormal detected on abd palp but quite growly so exam limited. lns ok. redening of ears edges - OR had small scabs - likely harest mites as opposed to sunburn. BCS 4/5. teeth ok. Differential Diagnosis: ok for vacc. Plan: continue weight loss.""",vaccination,2016-09-01 10:33:22,cat
429,6363468,booster tricat and felv. all well no probs.  exam all well.  still feels occ issues w back/mobility non progressiv <<name>> lameness nad on exam monitor - invest if progressive. watch wt discuss check 6 months.,vaccination,2019-07-10 18:10:21,cat
430,261081,"""Tricat/FeLV A321E01/4N4D01. Health check fine. O no concerns. <<identifier>>. Low grade murmur at sternal border. Not been detected before, discuss haemic murmur. Advise recheck in 2-3 months. Is very stressy in here. <<identifier>>.""",vaccination,2014-11-25 17:22:30,cat
433,1668585,"""off back legs,can use but very weak,emaciated,palpable R thyroid,tachycardia,mumur,didn`t want treatment so euthanased""",other_unwell,2016-05-30 10:05:33,cat
436,4776945,"""Present for a follow up.""",trauma,2018-07-20 13:42:19,cat
438,127926,"""left eye flare up of corneal signs, sequestrum on left eye now and blepharospasm. Neovascularisation seen around scarring and sequestrum, fl +ve in ring around, able to penetrate retina. Epiphora. Right eye quescent and scarring but fl -ve, advise start metacam and continue fucithalmic for 7 days, O has supply, if not improving over weekend, advise to swtich abc drops. O to phone with update on monday.""",trauma,2014-07-25 14:35:07,cat
448,3132234,""".  tricat a354d01 f<<passport>> nobivac. eyes ears teeth <<location>> normal. weight ok growing well. nad.  castrate and chip at 5.5m old""",post_op,2017-05-15 09:33:10,cat
450,52121,"""pre op check for castrate.""",other_healthy,2014-05-21 14:55:26,cat
